Season Number,Episode Number,Pitch Number,Original Air Date,Startup Name,Industry,Business Description,Pitchers Gender,Pitchers City,Pitchers State,Pitchers Average Age,Entrepreneur Names,Company Website,Multiple Entrepreneurs,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Deal Status,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Loan,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Investment Count,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
6,1,382,26-09-2014,Hammer&Nails,Fashion & Beauty,Hammer & Nails - Personal Care and Cosmetics,Male,Los Angeles,CA,UnKnown,UnKnown,http://www.hammerandnails-salon.com,0,7.45,200000,20,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
6,1,383,26-09-2014,Amber,Electronics,Amber - Electronics,Male,Washington,DC,UnKnown,UnKnown,http://www.theamber.co,0,7.45,200000,20,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
6,2,384,26-09-2014,Kronos,"Fitness, Sports & Outdoors",Kronos - Golf Products,Male,San Diego,CA,UnKnown,UnKnown,http://www.kronosgolf.com,0,7.45,150000,15,1000000,1,1,150000,30,500000,1,150000,30,0,0,0,0,0,0,0,0,150000,30,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
6,2,385,26-09-2014,Roominate,Children & Education,Roominate - Toys and Games,Female,Palo Alto,CA,UnKnown,UnKnown,http://www.roominatetoy.com,0,7.45,500000,5,10000000,1,1,500000,5,10000000,2,250000,2.5,0,0,0,0,250000,2.5,250000,2.5,0,0,0,0,0,0,0,0,2,UnKnown,1,1,1,1,0,1
6,2,386,26-09-2014,TheFloatingMugCo.,Lifestyle & Home,The Floating Mug Co. - Novelties,Male,Charlotte,NC,UnKnown,UnKnown,http://www.floatingmug.com,0,7.45,75000,15,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
6,2,387,26-09-2014,WeddingWagon,Lifestyle & Home,Wedding Wagon - Weddings,Male,Las Vegas,NV,UnKnown,UnKnown,http://www.weddingwagon.com,0,7.45,125000,20,625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
6,3,388,03-10-2014,HeartPup,Pet Products,Heart Pup - Pet Products,Female,Los Angeles,CA,UnKnown,Anastasia Heart,http://www.heartpup.com/,0,7.29,25000,10,250000,1,1,50000,40,125000,1,50000,40,0,0,0,0,0,0,0,0,0,0,50000,40,0,0,0,0,1,UnKnown,0,1,1,1,1,1
6,3,389,03-10-2014,SoapSox,Children & Education,SoapSox - Baby and Child Care,Male,Los Angeles,CA,UnKnown,Ray Philips and Alvin Uy,http://www.soapsoxkids.com/,1,7.29,260000,10,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
6,3,390,03-10-2014,NinjaCards,Children & Education,Ninja Cards - Toys and Games,Male,Chicago,IL,UnKnown,UnKnown,http://www.ninjacards.com/,0,7.29,60000,30,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
6,3,391,03-10-2014,DrumPants,Fashion & Beauty,DrumPants - Music,Mixed Team,San Francisco,CA,UnKnown,UnKnown,https://legacy.trycelery.com/shop/drumpants,1,7.29,150000,5,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
6,4,392,10-10-2014,PaperBoxPilots,Children & Education,Paper Box Pilots - Toys and Games,Male,Roy,UT,UnKnown,UnKnown,http://www.paperboxpilots.com,0,7.34,35000,25,140000,1,1,35000,50,70000,1,35000,50,0,0,0,0,0,0,0,0,35000,50,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
6,4,393,10-10-2014,Reviver,Lifestyle & Home,Reviver - Personal Care and Cosmetics,Male,Dallas,TX,UnKnown,Ben and Eric Kusin,http://www.reviver.com,1,7.34,150000,5,3000000,1,1,150000,15,1000000,1,150000,15,0,0,0,0,0,0,150000,15,0,0,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
